"","user_id","Condition","condition","age","gender","field","degree","motivation","sc","pre_mean","steps_I","steps_C","steps_S","gain_I","gain_C","gain_S","pre1_I","pre1_C","pre1_S","pre2_I","pre2_C","pre2_S","pre_mean_z","college_1_feedback_truth","college_1_feedback_length","college_1_ToF","college_2_feedback_truth","college_2_feedback_length","college_2_ToF","college_3_feedback_truth","college_3_feedback_length","college_3_ToF","college_4_feedback_truth","college_4_feedback_length","college_4_ToF","intermediate_1_feedback_truth","intermediate_1_feedback_length","intermediate_1_ToF","intermediate_2_feedback_truth","intermediate_2_feedback_length","intermediate_2_ToF","intermediate_3_feedback_truth","intermediate_3_feedback_length","intermediate_3_ToF","intermediate_4_feedback_truth","intermediate_4_feedback_length","intermediate_4_ToF","statistics_1_feedback_truth","statistics_1_feedback_length","statistics_1_ToF","statistics_2_feedback_truth","statistics_2_feedback_length","statistics_2_ToF","statistics_3_feedback_truth","statistics_3_feedback_length","statistics_3_ToF","statistics_4_feedback_truth","statistics_4_feedback_length","statistics_4_ToF"
"1","11097868","Accurate","Accurate",27,"Female",NA,"Post-se",3.75,5,0.333333333333333,4,4,4,0,1,-0.5,1,0,0,0,0,1,-1.03982516778057,TRUE,593,106.723,TRUE,816,26.81599998,TRUE,719,65.42799997,TRUE,435,24.56299996,TRUE,434,16.15100002,TRUE,322,12.50399995,TRUE,366,6.062000036,TRUE,434,11.39700007,TRUE,463,8.822000027,TRUE,794,13.96099997,TRUE,708,4.995999813,TRUE,574,7.411999941
"2","13018891","Inaccurate","Inaccurate",23,"Male","Humanit","Short-c",2,4.4,0.833333333333333,4,4,4,-0.5,0,0.5,1,1,1,1,1,0,0.96869024684588,FALSE,757,54.24000001,FALSE,500,98.90099978,FALSE,1744,69.55200005,FALSE,1353,35.85100007,FALSE,414,13.01900005,FALSE,393,11.3829999,FALSE,229,10.68499994,FALSE,351,15.25,FALSE,662,103.227,FALSE,865,97.16600013,FALSE,870,22.14699984,FALSE,1008,62.07200003
"3","53749983","Mixed","Mixed",NA,NA,NA,NA,NA,NA,0.5,0,0,3,NA,NA,NA,NA,NA,1,NA,NA,0,-0.370320029571751,NA,757,NA,NA,816,NA,NA,1744,NA,NA,435,NA,NA,414,NA,NA,322,NA,NA,229,NA,NA,434,NA,TRUE,463,72.00399995,TRUE,794,40.12900019,FALSE,870,NA,NA,1008,NA
"4","66953439","Mixed","Mixed",19,"Female",NA,"Short-c",2.75,2,0.833333333333333,4,4,4,0,-0.5,0,1,1,1,1,0,1,0.96869024684588,FALSE,757,36.85500002,TRUE,816,16.73799992,FALSE,1744,6.960999966,TRUE,435,5.237999916,FALSE,414,8.390000105,TRUE,322,7.861000061,FALSE,229,12.46700001,TRUE,434,10.76900005,TRUE,463,16.69200015,TRUE,794,14.10399985,FALSE,870,8.532999992,FALSE,1008,15.99300003
"5","86370508","Control","Control",NA,NA,NA,NA,NA,NA,0,4,0,4,NA,NA,0.5,NA,0,0,NA,0,0,-2.3788354441982,NA,149,NA,NA,143,NA,NA,130,NA,NA,105,NA,NA,133,1.626000166,NA,74,0.998000145,NA,66,0.969000101,NA,70,7.420000076,NA,429,0.934000015,NA,255,6.49000001,NA,276,7.323000193,NA,248,2.10800004
"6","105209047","Accurate","Accurate",18,"Female",NA,"Upper s",1.5,2.8,0.333333333333333,4,4,4,-0.5,0,-0.5,1,0,1,0,0,0,-1.03982516778057,TRUE,593,6.072999954,TRUE,816,44.99000001,TRUE,719,3.869999886,TRUE,435,9.19299984,TRUE,434,2.497999907,TRUE,322,2.939999819,TRUE,366,7.994999886,TRUE,434,1.473999977,TRUE,463,5.871999979,TRUE,794,3.184999943,TRUE,708,4.729000092,TRUE,574,3.868000031
"7","105544987","Control","Control",20,"Female",NA,"Short-c",3,2.2,0.5,4,4,0,NA,0.5,NA,NA,1,NA,NA,0,NA,-0.370320029571751,NA,149,0.89199996,NA,143,5.886999846,NA,130,0.924999952,NA,105,0.846000195,NA,133,1.062000036,NA,74,0.828000069,NA,66,0.88499999,NA,70,5.415999889,NA,429,NA,NA,255,NA,NA,276,NA,NA,248,NA
"8","123826259","Mixed","Mixed",19,"Female",NA,"Upper s",3.5,7,0.666666666666667,4,4,4,0,0,0,1,0,1,0,1,1,0.299185108637064,FALSE,757,79.68499994,TRUE,816,17.48199987,FALSE,1744,30.69300008,TRUE,435,14.72799993,FALSE,414,27.47399998,TRUE,322,3.098999977,FALSE,229,26.3269999,TRUE,434,6.74000001,TRUE,463,5.681999922,TRUE,794,18.45699978,FALSE,870,4.715999842,FALSE,1008,22.59500003
"9","145201220","Control",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.3788354441982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","148849482","Control","Accurate",NA,NA,NA,NA,NA,NA,0.333333333333333,0,0,1,NA,NA,NA,NA,0,NA,NA,0,1,-1.03982516778057,TRUE,593,3.467999935,NA,816,NA,NA,719,NA,NA,435,NA,NA,434,NA,NA,322,NA,NA,366,NA,NA,434,NA,NA,463,NA,NA,794,NA,NA,708,NA,TRUE,574,1.551000118
"11","151453927","Inaccurate","Inaccurate",21,"Female","Science","Post-se",2.25,7,0.666666666666667,4,4,4,0,-0.5,0.5,1,1,0,1,1,0,0.299185108637064,FALSE,757,197.7520001,FALSE,500,104.654,FALSE,1744,13.02800012,FALSE,1353,77,FALSE,414,22.27699995,FALSE,393,6.953000069,FALSE,229,32.98799992,FALSE,351,63.40799999,FALSE,662,48.26699996,FALSE,865,46.44099998,FALSE,870,112.8529999,FALSE,1008,240.592
